user_id,timestamp,merchant_name,amount,is_fraud
54146,2025-03-25 16:07:44.891152,IKEA,32.76,0
177167,2024-10-08 02:19:03.285538,Lyft,56.31,0
165190,2024-11-13 02:18:40.073337,Hilton,46.93,0
184333,2025-06-12 00:00:32.247302,McDonald's,22.83,0
55553,2025-06-06 08:38:44.390659,Verizon,2.83,0
164090,2025-08-24 22:34:51.903701,Expedia,0.81,0
5778,2024-12-15 00:37:47.948572,Exxon,1.13,0
172201,2025-06-18 23:26:39.393687,Dell Store,50.59,0
117974,2025-04-11 18:19:25.222386,IKEA,134.73,0
54373,2025-07-27 10:27:46.932849,Starbucks,118.25,0
183,2025-05-04 13:50:33.176630,Uber,4.22,0
133135,2025-08-28 01:47:35.573201,Walmart,14.49,0
32176,2025-03-31 18:26:10.492101,Whole Foods,7.06,0
120945,2025-06-11 09:50:00.668145,Hilton,21.45,0
60937,2024-11-24 18:00:51.956657,Whole Foods,9.73,0
90153,2024-10-31 13:40:02.216954,Lowes,17.88,0
47687,2025-05-27 02:53:49.868639,T-Mobile,28.51,0
115159,2025-08-31 10:39:43.641913,Pizza Hut,43.43,0
73112,2024-12-31 06:26:10.793722,Amazon,57.42,0
124060,2025-06-16 11:32:44.620710,Apple Store,20.03,0
59562,2025-03-03 22:21:04.411423,Marriott,18.35,0
165438,2025-04-15 02:09:58.311218,Sephora,29.71,0
82607,2025-08-20 06:10:47.819524,Best Buy,27.36,0
18180,2024-12-17 11:42:10.039200,T-Mobile,37.29,0
108757,2025-06-20 16:17:25.975591,Amazon,24.05,0
167828,2025-02-28 04:14:44.170375,Adidas,34.99,0
160420,2025-07-07 08:49:31.107404,Sephora,11.63,0
22325,2025-03-26 17:20:25.510903,Starbucks,23.11,0
120614,2025-01-20 05:25:52.985791,Dominos,14.99,0
94535,2025-04-23 14:39:01.463454,Amazon,38.44,0
171720,2025-05-21 01:46:49.653891,Hilton,24.12,0
31586,2024-10-29 02:42:36.004727,Hilton,3.82,0
74223,2025-05-14 12:55:18.747582,Safeway,50.79,0
183347,2025-04-24 09:06:27.620739,Airbnb,6.72,0
20058,2024-10-02 03:26:17.184801,International Goods Ltd,20.52,0
40390,2025-08-26 04:28:56.582253,Airbnb,2.94,0
150409,2025-08-02 07:52:58.568053,Costco,20.12,0
152827,2025-05-03 05:07:07.347422,Rite Aid,21.57,0
172217,2024-10-26 03:07:25.417197,Lowes,38.29,0
69036,2025-04-22 16:41:24.050003,Verizon,10.96,0
20790,2024-12-03 14:24:37.647252,Target,6.47,0
115860,2025-09-23 18:27:49.339129,Airbnb,12.88,0
107565,2025-05-30 18:51:42.282597,Uber,22.06,0
17971,2024-11-19 21:24:29.925503,Kroger,38.14,0
182107,2024-11-19 15:27:21.055510,Starbucks,12.17,0
52845,2025-04-18 22:59:06.127340,Costco,68.21,0
67656,2025-03-31 10:55:52.863050,Zara,17.65,0
161466,2025-02-09 20:17:17.833329,Netflix,4.14,0
38397,2025-03-28 07:34:13.955160,Nike,10.36,0
146497,2024-12-16 06:41:35.589690,Gap,29.2,0
106237,2025-08-25 14:18:31.855596,Best Buy,9.8,0
38813,2025-06-16 12:51:43.865811,Netflix,91.87,0
154433,2024-12-14 02:19:34.149819,Luxury Watches Inc,14.63,0
28470,2025-07-12 10:40:06.259422,Luxury Watches Inc,12.01,0
163687,2025-03-22 19:18:43.165792,Marriott,30.56,0
5757,2025-02-10 11:11:20.042413,Luxury Watches Inc,18.04,0
6701,2024-10-26 03:12:04.412760,Walmart,11.73,0
126807,2025-04-17 06:33:08.267687,Safeway,18.74,0
199114,2025-07-01 12:36:21.150403,Crypto Exchange,10.87,0
54602,2025-01-12 06:04:35.450298,Luxury Watches Inc,38.54,0
75767,2025-02-15 19:35:53.918422,Chevron,28.29,0
110169,2025-05-27 17:56:54.606279,Unverified Market,19.89,0
80391,2025-05-08 21:49:18.265628,Marriott,10.5,0
116522,2025-06-12 20:10:10.822637,Gap,4.56,0
112623,2025-08-24 22:15:50.133270,Starbucks,22.99,0
181874,2025-08-25 01:04:51.732953,Starbucks,17.06,0
67915,2024-10-06 03:01:58.249183,Sephora,60.84,0
75404,2025-06-12 08:09:30.067251,Unverified Market,21.71,0
17348,2025-08-09 20:18:13.174125,Uber,12.55,0
42261,2025-04-13 23:02:34.780182,H&M,17.92,0
23159,2024-11-06 22:36:16.488562,Lowes,26.83,0
161852,2025-09-16 15:36:10.526659,Uber,18.3,0
36228,2025-08-04 14:11:12.947657,Hilton,31.63,0
64144,2024-10-01 09:09:17.312887,Nike,24.48,0
119522,2024-10-31 04:48:19.711916,Whole Foods,12.81,0
104659,2025-02-09 08:10:21.802089,Netflix,48.98,0
197274,2025-06-12 10:24:47.517750,Chipotle,171.4,0
74655,2025-05-23 13:39:47.543341,Costco,571.79,0
57208,2024-11-28 11:11:08.669728,Walmart,35.94,0
155055,2024-10-07 12:44:24.226248,FastCash Loans,138.99,0
169283,2025-04-16 00:05:06.925159,Chevron,33.1,0
115798,2025-01-13 01:53:32.950413,Adidas,12.9,0
12789,2024-10-09 18:44:51.499572,Amazon,10.03,0
183855,2024-12-12 04:32:46.416504,International Goods Ltd,77.65,0
76944,2025-07-26 21:44:27.137458,Puma,42.56,0
956,2025-03-23 00:24:30.694537,Spotify,1.99,0
122466,2025-07-25 10:08:10.183877,McDonald's,31.88,0
85534,2025-03-10 11:03:21.920897,Sephora,32.14,0
48482,2025-09-03 13:55:52.025893,Amazon,17.19,0
92799,2025-07-04 05:48:56.371497,AT&T,38.52,0
22308,2025-04-06 03:40:10.163315,Nike,32.5,0
73707,2025-02-28 11:49:03.182915,Dell Store,10.78,0
178960,2025-09-23 20:02:29.873823,Amazon,44.38,0
53327,2024-10-24 13:23:35.087408,Foreign Electronics Hub,22.7,0
45298,2025-06-01 18:03:04.599950,Foreign Electronics Hub,29.31,0
142794,2025-07-16 03:52:47.433477,Gift Card Reseller,11.07,0
100328,2024-12-22 06:37:09.602302,Subway,28.56,0
5419,2025-07-26 04:38:34.063080,Luxury Watches Inc,25.2,0
139665,2025-05-21 21:16:55.332759,Subway,15.77,0
187478,2025-08-20 00:20:27.874277,Marriott,10.66,0
168382,2024-09-29 15:39:57.182522,Subway,12.29,0
57277,2024-12-11 20:02:57.741103,Foreign Electronics Hub,21.83,0
113380,2025-03-12 20:40:45.168479,Booking.com,19.98,0
18718,2025-02-03 23:38:11.587245,Verizon,11.28,0
2995,2024-11-19 20:40:50.824710,Walgreens,24.29,0
158201,2025-01-26 16:36:44.516016,AT&T,9.11,0
17983,2025-07-13 05:51:48.438447,Safeway,11.74,0
11905,2024-10-18 21:39:22.260769,International Goods Ltd,25.19,0
84948,2025-05-24 00:27:05.500636,McDonald's,23.24,0
91055,2025-01-10 17:33:22.422831,Walmart,31.03,0
157724,2025-02-18 22:18:00.417993,Gap,25.92,0
45976,2025-03-31 07:20:34.714251,Chevron,18.58,0
165302,2024-11-22 02:57:06.896625,Dell Store,32.16,0
40519,2025-03-02 20:28:22.892793,Marriott,13.94,0
136218,2024-11-06 14:49:38.354756,Lyft,13.94,0
7325,2024-11-10 02:38:48.652106,IKEA,8.92,0
10798,2025-04-04 05:12:36.254135,Walgreens,136.46,0
135936,2025-01-21 13:26:03.346081,International Goods Ltd,75.68,0
76933,2024-10-27 04:44:24.752943,Foreign Electronics Hub,30.08,0
42241,2025-08-12 17:27:19.370285,IKEA,52.27,0
93997,2025-08-19 02:11:06.488454,Puma,41.41,0
158304,2025-06-23 12:27:47.568195,IKEA,36.25,0
94579,2025-09-07 10:04:12.344681,Nike,57.39,0
100876,2025-07-11 13:05:06.115570,Crypto Exchange,24.07,0
147498,2024-11-13 17:10:52.973619,International Goods Ltd,35.32,0
146927,2025-03-22 19:30:04.082350,Safeway,66.32,0
159187,2024-10-09 15:37:18.496068,Luxury Watches Inc,13.79,0
143583,2025-03-26 03:49:27.049063,Starbucks,22.59,0
63426,2024-11-03 21:57:15.598323,Crypto Exchange,46.91,0
71705,2025-08-12 03:48:21.221243,Hilton,19.4,0
26788,2025-03-28 14:06:15.136651,McDonald's,57.5,0
87420,2025-07-09 06:33:20.750479,International Goods Ltd,145.66,0
119319,2025-08-18 01:18:02.379680,Dell Store,29.45,0
101683,2024-10-02 09:43:02.370839,Gap,12.41,0
126675,2025-02-25 07:59:47.992479,Lowes,57.04,0
127263,2024-10-07 18:22:39.963522,Crypto Exchange,18.33,0
186238,2025-03-08 15:24:13.840436,Wire Transfer Service,17.11,0
87543,2025-05-18 19:16:17.093864,Spotify,27.53,0
61525,2024-10-21 06:03:23.484743,Booking.com,24.77,0
10533,2025-09-05 08:18:08.329924,Gift Card Reseller,180.31,1
92850,2025-03-15 20:02:18.494906,Unverified Market,56.91,0
126639,2025-05-12 19:32:57.334403,Shell,62.24,0
83647,2024-10-31 03:45:20.445806,Zara,33.76,0
168942,2024-11-22 18:21:01.613531,Walmart,5.69,0
176018,2024-10-29 01:46:35.511346,Starbucks,52.29,0
78095,2025-02-11 04:39:01.028404,Zara,4.24,0
89832,2025-03-24 08:32:22.167681,Verizon,26.54,0
19699,2025-08-05 20:17:52.909247,Booking.com,5.41,0
172174,2025-06-16 05:00:29.246604,Home Depot,25.94,0
51518,2025-05-03 04:04:26.936800,Luxury Watches Inc,31.3,0
52312,2025-03-24 06:22:30.786480,Luxury Watches Inc,14.9,0
119632,2025-01-29 05:47:16.065812,Subway,11.6,0
131949,2025-07-08 23:28:04.011651,Gift Card Reseller,7.44,0
126183,2025-04-14 01:05:21.708145,Subway,5.8,0
66890,2024-09-28 07:37:44.709373,Chevron,18.46,0
98524,2024-11-26 11:11:55.546465,McDonald's,46.53,0
101058,2025-03-13 04:52:20.163204,Trader Joe's,21.77,0
72685,2024-11-05 06:16:31.357982,HighValueElectronics,29.93,0
188677,2025-09-08 23:44:25.804999,HighValueElectronics,60.21,0
21782,2025-02-17 02:53:41.939044,Verizon,40.25,0
16827,2025-03-31 23:57:36.228813,Exxon,46.44,0
16336,2025-01-23 14:53:53.618332,Foreign Electronics Hub,2.0,0
37856,2024-11-13 20:35:27.790001,Whole Foods,19.22,0
77007,2025-04-29 12:09:06.330589,Airbnb,63.97,0
67001,2025-02-20 03:39:59.322400,Pizza Hut,16.55,0
1987,2025-01-03 22:00:34.249174,IKEA,28.24,0
148050,2025-06-17 05:11:03.805124,Whole Foods,18.82,0
199662,2024-11-24 23:03:10.214191,Best Buy,12.23,0
163869,2025-07-27 22:04:54.574835,Marriott,13.92,0
59105,2025-02-25 19:41:14.112373,Gift Card Reseller,29.32,0
79329,2025-09-11 14:52:36.075309,Airbnb,91.48,0
141683,2025-06-22 20:15:49.309243,Expedia,12.24,0
50508,2025-03-13 12:34:34.094297,Unverified Market,41.2,0
34926,2024-10-26 07:26:08.811974,Target,33.03,0
26784,2024-11-07 01:04:30.107639,International Goods Ltd,3.71,0
24207,2024-11-07 07:11:24.702736,AT&T,1.47,0
